County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County
Snohomish,Everett,WA,98201,2014,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,38,289433707,PUGET SOUND ENERGY INC,53061040400,-122.20722,47.979935
Snohomish,Lynnwood,WA,98036,2014,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,32,349740555,PUGET SOUND ENERGY INC,53061051930,-122.316675,47.819365
Snohomish,Snohomish,WA,98290,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,44,147955405,PUGET SOUND ENERGY INC,53061052402,-122.091505,47.915555
Island,Coupeville,WA,98239,2015,BMW,I3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,81,0,10,122528122,PUGET SOUND ENERGY INC,53029971100,-122.681275,48.21784
Snohomish,Everett,WA,98203,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,38,132611083,PUGET SOUND ENERGY INC,53061041400,-122.213105,47.95479
Thurston,Yelm,WA,98597,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,2,474286284,PUGET SOUND ENERGY INC,53067012422,-122.61023,46.94126
Snohomish,Everett,WA,98203,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,38,100553386,PUGET SOUND ENERGY INC,53061041100,-122.213105,47.95479
Island,Langley,WA,98260,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,17,52900,10,171256809,PUGET SOUND ENERGY INC,53029971900,-122.408015,48.03557
Snohomish,Everett,WA,98203,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,38,104423469,PUGET SOUND ENERGY INC,53061041303,-122.213105,47.95479
Columbia,Dayton,WA,99328,2022,FORD,F-150,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,16,220469602,PACIFICORP,53013960200,-117.977095,46.320425
Yakima,Yakima,WA,98901,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,15,127484339,PACIFICORP,53077001602,-120.500225,46.6043
King,Seattle,WA,98144,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,37,475675553,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400,-122.30823,47.581975
Yakima,Cowiche,WA,98923,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,14,9166664,PACIFICORP,53077002900,-120.713895,46.67108
Kitsap,Kingston,WA,98346,2017,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,23,103202074,PUGET SOUND ENERGY INC,53035940000,-122.50156,47.8019
Island,Coupeville,WA,98239,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,10,154056871,PUGET SOUND ENERGY INC,53029971000,-122.681275,48.21784
Island,Langley,WA,98260,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,10,151225896,PUGET SOUND ENERGY INC,53029972000,-122.408015,48.03557
Snohomish,Bothell,WA,98012,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,1,157145852,PUGET SOUND ENERGY INC,53061052009,-122.1873,47.820245
Yakima,Yakima,WA,98908,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,14,171506870,PACIFICORP,53077002801,-120.6027202,46.5965625
